Instrument Serial Num,Test Label,Date,Time,Method ID,Test Status,Real Time 1,Real Time 2,Real Time 3,User Factor Name,Units,Al Concentration,Al Error1s,As Concentration,As Error1s,Fe Concentration,Fe Error1s,Rb Concentration,Rb Error1s,Ti Concentration,Ti Error1s,LE Concentration,LE Error1s
sep=,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Num,Test Label,Date,Time,,,Real Time 1,Real Time 2,Real Time 3,User Factor Name,,Al Concentration,Al Error1s,As Concentration,As Error1s,Fe Concentration,Fe Error1s,Rb Concentration,Rb Error1s,Ti Concentration,Ti Error1s,LE Concentration,LE Error1s
803071,1-RP1,2021-03-10,09:59:24,,,15,15,15,,,0,368,0,1,22,7,2,0,0,94,613539,707
803071,1-RP2,2021-03-10,10:00:15,,,15,15,15,,,0,368,0,1,32,7,2,0,0,94,613970,707
803071,1-RP3,2021-03-10,10:01:07,,,15,15,15,,,0,369,0,1,30,7,2,1,0,94,614329,704
803071,1-RP4,2021-03-10,10:01:58,,,15,15,15,,,0,369,0,1,35,7,2,1,0,94,612481,709
803071,1-RP5,2021-03-10,10:02:50,,,15,15,15,,,0,368,0,1,26,7,2,0,0,94,611676,708
803071,2-RP1,2021-03-10,10:04:08,,,15,15,15,,,47546,539,0,1,76791,357,25,1,11321,167,638467,1398
803071,2-RP2,2021-03-10,10:05:00,,,15,15,15,,,47197,539,0,1,77199,361,24,1,11289,166,633847,1420
803071,2-RP3,2021-03-10,10:05:52,,,15,15,15,,,47166,536,0,1,77027,357,25,1,11269,167,640281,1383
803071,2-RP4,2021-03-10,10:06:44,,,15,15,15,,,47413,534,0,1,76866,354,23,1,11234,166,641399,1366
803071,2-RP5,2021-03-10,10:07:36,,,15,15,15,,,47699,537,0,1,76865,356,25,1,11140,167,636709,1387
803071,2-RP6,2021-03-10,10:08:28,,,15,15,15,,,47108,531,0,1,76451,352,23,1,10858,164,640522,1368
803071,2-RP7,2021-03-10,10:09:20,,,15,15,15,,,47700,532,0,1,76263,350,24,1,11353,166,641609,1357
803071,2-RP8,2021-03-10,10:10:12,,,15,15,15,,,47769,531,0,1,76621,349,25,1,11391,166,643413,1335
803071,2-RP9,2021-03-10,10:11:04,,,15,15,15,,,47260,532,0,1,76690,353,24,1,11227,166,638046,1370
803071,2-RP10,2021-03-10,10:11:56,,,15,15,15,,,47277,529,0,1,76653,352,24,1,11063,167,637298,1359
803071,2-RP11,2021-03-10,10:12:48,,,15,15,15,,,47458,529,0,1,76246,350,24,1,10801,163,638471,1362
803071,2-RP12,2021-03-10,10:13:40,,,15,15,15,,,48045,533,0,1,76732,353,24,1,11107,167,635872,1370
803071,2-RP13,2021-03-10,10:14:32,,,15,15,15,,,47422,527,0,1,76787,351,25,1,11299,166,637985,1345
803071,2-RP14,2021-03-10,10:15:24,,,15,15,15,,,48566,533,0,1,76812,351,25,1,11179,167,637135,1345
803071,2-RP15,2021-03-10,10:16:16,,,15,15,15,,,47051,525,0,1,76572,349,25,1,11337,167,639210,1340
803071,2-RP16,2021-03-10,10:17:08,,,15,15,15,,,47917,528,0,1,77085,351,23,1,11160,165,639386,1332
803071,2-RP17,2021-03-10,10:18:00,,,15,15,15,,,47814,526,0,1,76118,346,27,1,11329,166,641085,1330
803071,2-RP18,2021-03-10,10:18:52,,,15,15,15,,,48338,529,0,1,76475,347,25,1,11185,165,639057,1332
803071,2-RP19,2021-03-10,10:19:44,,,15,15,15,,,48491,530,0,1,77174,352,24,1,11363,167,635701,1337
803071,2-RP20,2021-03-10,10:20:36,,,15,15,15,,,48255,529,0,1,76743,349,25,1,10808,165,637956,1332
803071,3-RP1,2021-03-10,10:27:41,,,15,15,15,,,62345,546,12,1,66156,250,66,1,10900,140,707123,710
803071,3-RP2,2021-03-10,10:28:33,,,15,15,15,,,62784,548,13,2,66032,249,70,1,10774,140,706981,708
803071,3-RP3,2021-03-10,10:29:26,,,15,15,15,,,63111,549,11,2,66416,251,70,1,11190,142,704887,711
803071,3-RP4,2021-03-10,10:30:19,,,15,15,15,,,62919,548,11,2,66563,251,66,1,10981,142,705740,710
803071,3-RP5,2021-03-10,10:31:12,,,15,15,15,,,63739,548,13,1,66436,250,68,1,11082,141,704458,711
803071,3-RP6,2021-03-10,10:32:05,,,15,15,15,,,65275,554,11,1,66402,250,68,1,10819,140,702987,712
803071,3-RP7,2021-03-10,10:32:57,,,15,15,15,,,63762,549,13,1,66502,250,69,1,11002,141,703887,710
803071,3-RP8,2021-03-10,10:33:50,,,15,15,15,,,63275,545,13,2,65901,248,67,1,10996,141,707124,704
803071,3-RP9,2021-03-10,10:34:43,,,15,15,15,,,64114,547,15,1,66048,248,70,1,10865,140,704164,708
803071,3-RP10,2021-03-10,10:35:35,,,15,15,15,,,62581,543,14,2,66179,249,69,1,10926,139,705838,708
