sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units, Compound, Compound Level, Compound Error, Concentration, Error1s,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Real Time 1,Real Time 2,Real Time 3,
803071,1,2021-03-10,09:59:24,Geochem(3-Beam),,1-RP1,No,,,PPM,,,,0,0,,,,0,1657,,,,0,368,,,,385839,706,,,,0,31,,,,0,48,,,,0,86,,,,0,71,,,,0,94,,,,0,34,,,,0,17,,,,0,204,,,,22,7,,,,0,5,,,,80,4,,,,18,2,,,,4,1,,,,0,1,,,,2,1,,,,2,0,,,,0,1,,,,0,2,,,,7,1,,,,0,2,,,,0,3,,,,7,2,,,,0,11,,,,0,15,,,,0,21,,,,0,426,,,,0,762,,,,0,817,,,,197,56,,,,281,76,,,,0,5,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,613539,707,15,15,15,
803071,1,2021-03-10,10:00:15,Geochem(3-Beam),,1-RP2,No,,,PPM,,,,0,0,,,,0,1688,,,,0,368,,,,385157,705,,,,0,31,,,,0,48,,,,0,85,,,,0,71,,,,0,94,,,,0,33,,,,0,17,,,,47,9,,,,32,7,,,,0,5,,,,80,4,,,,13,2,,,,0,2,,,,0,1,,,,0,1,,,,2,0,,,,0,1,,,,0,2,,,,8,1,,,,0,2,,,,0,3,,,,8,2,,,,0,11,,,,0,15,,,,0,21,,,,0,425,,,,0,755,,,,168,37,,,,235,56,,,,280,76,,,,0,5,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,613970,707,15,15,15,
803071,1,2021-03-10,10:01:07,Geochem(3-Beam),,1-RP3,No,,,PPM,,,,0,0,,,,0,1710,,,,0,369,,,,385093,703,,,,0,31,,,,0,47,,,,0,85,,,,0,70,,,,0,94,,,,0,33,,,,0,17,,,,0,202,,,,30,7,,,,0,6,,,,78,4,,,,14,2,,,,0,2,,,,0,1,,,,2,1,,,,2,1,,,,0,1,,,,0,2,,,,8,1,,,,0,2,,,,0,3,,,,8,2,,,,0,11,,,,0,15,,,,0,21,,,,0,421,,,,115,33,,,,142,37,,,,178,56,,,,0,1561,,,,0,5,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,614329,704,15,15,15,
803071,1,2021-03-10,10:01:58,Geochem(3-Beam),,1-RP4,No,,,PPM,,,,0,0,,,,0,1718,,,,0,369,,,,386725,708,,,,0,30,,,,0,48,,,,0,85,,,,0,70,,,,0,94,,,,0,32,,,,0,17,,,,43,10,,,,35,7,,,,0,5,,,,73,4,,,,14,2,,,,0,2,,,,0,1,,,,2,1,,,,2,1,,,,0,1,,,,0,2,,,,8,1,,,,0,2,,,,0,3,,,,6,2,,,,0,11,,,,0,15,,,,0,21,,,,0,417,,,,0,749,,,,129,37,,,,222,56,,,,259,76,,,,0,5,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,612481,709,15,15,15,
803071,1,2021-03-10,10:02:50,Geochem(3-Beam),,1-RP5,No,,,PPM,,,,0,0,,,,0,1702,,,,0,368,,,,388060,708,,,,0,31,,,,0,48,,,,0,86,,,,0,70,,,,0,94,,,,0,33,,,,0,17,,,,0,203,,,,26,7,,,,0,5,,,,76,4,,,,18,2,,,,6,1,,,,0,1,,,,3,1,,,,2,0,,,,0,1,,,,0,2,,,,7,1,,,,0,2,,,,0,3,,,,7,2,,,,0,11,,,,0,15,,,,0,21,,,,0,427,,,,120,33,,,,0,826,,,,0,1213,,,,0,1567,,,,0,5,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,611676,708,15,15,15,
803071,2,2021-03-10,10:04:08,Geochem(3-Beam),,2-RP1,No,,,PPM,,,,0,0,,,,14557,1679,,,,47546,539,,,,149332,693,,,,621,39,,,,0,83,,,,5678,47,,,,52529,239,,,,11321,167,,,,236,44,,,,148,18,,,,982,24,,,,76791,357,,,,210,36,,,,255,8,,,,59,5,,,,114,4,,,,0,1,,,,0,1,,,,25,1,,,,444,3,,,,28,1,,,,150,2,,,,17,2,,,,0,3,,,,12,2,,,,0,9,,,,0,13,,,,0,18,,,,350,25,,,,128,42,,,,0,1113,,,,0,1667,,,,0,2174,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,638467,1398,15,15,15,
803071,2,2021-03-10,10:05:00,Geochem(3-Beam),,2-RP2,No,,,PPM,,,,0,0,,,,18378,1715,,,,47197,539,,,,149641,700,,,,655,40,,,,0,82,,,,5667,47,,,,52898,242,,,,11289,166,,,,253,44,,,,145,19,,,,968,24,,,,77199,361,,,,132,36,,,,255,8,,,,57,5,,,,123,4,,,,0,1,,,,0,1,,,,24,1,,,,442,3,,,,28,1,,,,153,2,,,,21,2,,,,0,3,,,,11,2,,,,0,9,,,,0,13,,,,0,18,,,,325,25,,,,0,1061,,,,0,1154,,,,0,1701,,,,293,96,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,633847,1420,15,15,15,
803071,2,2021-03-10,10:05:52,Geochem(3-Beam),,2-RP3,No,,,PPM,,,,0,0,,,,11788,1652,,,,47166,536,,,,150283,694,,,,587,39,,,,0,83,,,,5590,47,,,,52847,240,,,,11269,167,,,,222,43,,,,169,19,,,,976,24,,,,77027,357,,,,163,36,,,,254,8,,,,66,5,,,,116,4,,,,0,1,,,,0,1,,,,25,1,,,,443,3,,,,24,1,,,,155,2,,,,19,2,,,,0,3,,,,9,2,,,,0,9,,,,0,13,,,,0,18,,,,377,25,,,,0,1041,,,,145,46,,,,0,1662,,,,0,2211,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,640281,1383,15,15,15,
803071,2,2021-03-10,10:06:44,Geochem(3-Beam),,2-RP4,No,,,PPM,,,,0,0,,,,11142,1625,,,,47413,534,,,,149923,689,,,,615,39,,,,0,83,,,,5748,47,,,,52682,237,,,,11234,166,,,,207,43,,,,188,19,,,,949,24,,,,76866,354,,,,0,59,,,,272,8,,,,62,5,,,,116,4,,,,0,1,,,,0,1,,,,23,1,,,,440,3,,,,28,1,,,,152,2,,,,21,2,,,,0,3,,,,9,2,,,,0,9,,,,0,13,,,,0,18,,,,365,25,,,,0,1060,,,,144,46,,,,0,1708,,,,0,2259,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,641399,1366,15,15,15,
803071,2,2021-03-10,10:07:36,Geochem(3-Beam),,2-RP5,No,,,PPM,,,,0,0,,,,15026,1662,,,,47699,537,,,,150368,694,,,,543,39,,,,0,84,,,,5611,47,,,,52876,240,,,,11140,167,,,,237,44,,,,175,19,,,,1028,24,,,,76865,356,,,,202,36,,,,253,8,,,,68,5,,,,125,4,,,,0,1,,,,0,1,,,,25,1,,,,447,3,,,,22,1,,,,153,2,,,,21,2,,,,0,3,,,,10,2,,,,24,7,,,,0,13,,,,0,18,,,,370,25,,,,0,1048,,,,0,1136,,,,0,1688,,,,0,2212,,,,0,5,,,,0,4,,,,0,2,,,,0,11,,,,0,5,,,,0,3,,,,636709,1387,15,15,15,
803071,2,2021-03-10,10:08:28,Geochem(3-Beam),,2-RP6,No,,,PPM,,,,0,0,,,,13037,1630,,,,47108,531,,,,149752,688,,,,669,39,,,,0,83,,,,5582,46,,,,52708,238,,,,10858,164,,,,278,43,,,,163,19,,,,1030,24,,,,76451,352,,,,177,36,,,,269,8,,,,63,5,,,,121,4,,,,0,1,,,,0,1,,,,23,1,,,,441,3,,,,25,1,,,,154,2,,,,23,2,,,,0,3,,,,13,2,,,,22,7,,,,0,13,,,,0,18,,,,336,25,,,,0,1056,,,,174,46,,,,0,1712,,,,0,2254,,,,0,6,,,,0,4,,,,0,2,,,,0,11,,,,0,5,,,,0,3,,,,640522,1368,15,15,15,
803071,2,2021-03-10,10:09:20,Geochem(3-Beam),,2-RP7,No,,,PPM,,,,0,0,,,,11538,1612,,,,47700,532,,,,149487,684,,,,687,39,,,,0,81,,,,5568,46,,,,52530,236,,,,11353,166,,,,170,43,,,,143,18,,,,1003,24,,,,76263,350,,,,176,36,,,,252,8,,,,68,5,,,,116,4,,,,0,1,,,,0,1,,,,24,1,,,,438,3,,,,26,1,,,,150,2,,,,19,2,,,,0,3,,,,8,2,,,,0,9,,,,0,13,,,,0,18,,,,344,25,,,,0,1022,,,,0,1118,,,,329,70,,,,0,2168,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,641609,1357,15,15,15,
803071,2,2021-03-10,10:10:12,Geochem(3-Beam),,2-RP8,No,,,PPM,,,,0,0,,,,9116,1575,,,,47769,531,,,,149746,681,,,,619,39,,,,0,85,,,,5641,46,,,,52561,235,,,,11391,166,,,,236,43,,,,155,18,,,,1004,24,,,,76621,349,,,,115,36,,,,255,8,,,,66,5,,,,113,4,,,,0,1,,,,0,1,,,,25,1,,,,444,3,,,,27,1,,,,152,2,,,,21,2,,,,0,3,,,,11,2,,,,0,9,,,,0,13,,,,0,18,,,,369,25,,,,129,42,,,,0,1144,,,,0,1704,,,,0,2234,,,,0,6,,,,0,4,,,,0,2,,,,0,12,,,,0,5,,,,0,3,,,,643413,1335,15,15,15,
